         2227295 function calls (2225323 primitive calls) in 81.414 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      203    0.005    0.000    0.024    0.000 /home/wolverine/bin/running/calculator3.py:670(write_loop)
     1266    0.014    0.000    0.024    0.000 /usr/lib/python3.10/asyncio/tasks.py:593(sleep)
      720    0.004    0.000    0.024    0.000 /usr/lib/python3.10/ssl.py:1292(recv_into)
      877    0.005    0.000    0.023    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:186(put)
     3453    0.012    0.000    0.023    0.000 /usr/lib/python3.10/asyncio/base_events.py:772(_call_soon)
    23733    0.009    0.000    0.022    0.000 {built-in method builtins.isinstance}
     1363    0.008    0.000    0.022    0.000 /home/wolverine/bin/running/calculator3.py:814(dataReceived)
       24    0.014    0.001    0.021    0.001 /usr/lib/python3.10/random.py:380(shuffle)
      355    0.004    0.000    0.020    0.000 /usr/lib/python3.10/asyncio/selector_events.py:252(_add_reader)
       60    0.000    0.000    0.020    0.000 /usr/lib/python3.10/typing.py:1040(__or__)
        4    0.000    0.000    0.019    0.005 /home/wolverine/bin/running/pycaitlyn.py:7109(save)
        4    0.019    0.005    0.019    0.005 {built-in method _pycaitlyn.IndexSchema_save}
       27    0.000    0.000    0.019    0.001 /home/wolverine/bin/running/pycaitlyn.py:11670(decode_string)
       27    0.019    0.001    0.019    0.001 {built-in method _pycaitlyn.TCDataCommunication_decode_string}
      720    0.003    0.000    0.019    0.000 /usr/lib/python3.10/ssl.py:1150(read)
      877    0.002    0.000    0.019    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/websocket.py:1553(read_message)
       90    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      239    0.001    0.000    0.018    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1119(write_to_fd)
        1    0.000    0.000    0.018    0.018 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
      355    0.005    0.000    0.018    0.000 /usr/lib/python3.10/asyncio/selector_events.py:268(_remove_reader)
      240    0.018    0.000    0.018    0.000 {method 'send' of '_socket.socket' objects}
     1198    0.009    0.000    0.018    0.000 /usr/lib/python3.10/asyncio/queues.py:150(get)
        1    0.000    0.000    0.018    0.018 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_typing/_char_codes.py:1(<module>)
       50    0.000    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:407(__getitem__)
       90    0.000    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
      877    0.005    0.000    0.017    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:225(get)
       90    0.001    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:483(Union)
      208    0.006    0.000    0.017    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      877    0.006    0.000    0.017    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/queues.py:209(put_nowait)
      720    0.016    0.000    0.016    0.000 {method 'read' of '_ssl._SSLSocket' objects}
    92/88    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   186661    0.016    0.000    0.016    0.000 {built-in method _pycaitlyn.Field_get_name}
