         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.019    0.000 /usr/lib/python3.10/typing.py:407(__getitem__)
       27    0.000    0.000    0.019    0.001 /home/wolverine/bin/running/pycaitlyn.py:11670(decode_string)
       27    0.018    0.001    0.018    0.001 {built-in method _pycaitlyn.TCDataCommunication_decode_string}
        1    0.000    0.000    0.018    0.018 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/__config__.py:1(<module>)
     3176    0.006    0.000    0.017    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
        1    0.000    0.000    0.017    0.017 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/__init__.py:1(<module>)
      103    0.001    0.000    0.016    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:771(_handle_read)
     3125    0.005    0.000    0.015    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema.py:1032(to_dict)
       50    0.005    0.000    0.015    0.000 /usr/lib/python3.10/typing.py:532(Literal)
       72    0.000    0.000    0.015    0.000 /home/wolverine/bin/running/pycaitlyn.py:11685(reset)
       72    0.015    0.000    0.015    0.000 {built-in method _pycaitlyn.TCDataCommunication_reset}
       92    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     1312    0.002    0.000    0.014    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:891(_read_from_buffer)
    60649    0.009    0.000    0.014    0.000 /home/wolverine/bin/running/pycaitlyn.py:6836(get_granularity)
   405507    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
      214    0.006    0.000    0.014    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
       54    0.000    0.000    0.014    0.000 /home/wolverine/bin/running/pycaitlyn.py:11679(get_sva)
       54    0.014    0.000    0.014    0.000 {built-in method _pycaitlyn.TCDataCommunication_get_sva}
